strategy,session_et,trades,avg_pnl_usd,total_pnl_usd,avg_fraction,win_rate
gate_breakout_fixed_6pct,asia,10,1.7336231614861597,17.336231614861596,0.06,1.0
gate_breakout_fixed_6pct,london,5,-0.2263753845166538,-1.131876922583269,0.06,0.8
gate_breakout_fixed_6pct,other,5,0.33749983972875786,1.6874991986437893,0.06,0.8
gate_breakout_fixed_6pct,us_open,2,1.1165889984465438,2.2331779968930876,0.06,1.0
session_breakout_asia_fixed_10pct,asia,11,2.869816661638316,31.567983278021472,0.1,1.0
session_breakout_asia_fixed_12pct,asia,11,3.530093357709133,38.83102693480046,0.11999999999999998,1.0
session_breakout_asia_fixed_6pct,asia,11,1.6390975509248427,18.03007306017327,0.05999999999999999,1.0
session_breakout_asia_fixed_8pct,asia,11,2.239889745729739,24.638787203027128,0.08,1.0
session_breakout_us_open_fixed_10pct,us_open,2,1.591792065663475,3.18358413132695,0.1,1.0
session_breakout_us_open_fixed_8pct,us_open,2,1.2714418604651165,2.542883720930233,0.08,1.0
session_milddrop_london_fixed_6pct,london,26,1.7934333198482453,46.62926631605438,0.060000000000000005,0.8461538461538461
session_milddrop_london_fixed_8pct,london,26,2.470509098397458,64.23323655833391,0.08,0.8461538461538461
session_milddrop_us_afternoon_fixed_10pct,us_afternoon,6,6.26688600428475,37.6013160257085,0.10000000000000002,1.0
session_milddrop_us_afternoon_fixed_12pct,us_afternoon,6,7.72646819444795,46.3588091666877,0.12,1.0
session_milddrop_us_afternoon_fixed_6pct,us_afternoon,6,3.5622577573287124,21.373546543972274,0.06,1.0
session_milddrop_us_afternoon_fixed_8pct,us_afternoon,6,4.879769317172683,29.278615903036098,0.08,1.0
