strategy,first_quote_ts,run_name,market_id,slug,session_et,component,entry_minute,side,fraction,target_cost,entry_price,pnl_usd,bankroll_after,event_ret,sim_max_drawdown,recent_tail_flag
v1_active_fill_mix,2026-05-02 06:55:01+00:00,25208977834_attempt1,25208977834_attempt1::btc-updown-5m-1777704900,btc-updown-5m-1777704900,london,london_milddrop,2,buy_down,0.04,3.2,0.32,-3.3000000000000003,80.31117011914891,-0.039468410683612995,0.3576310235417235,True
v1_active_fill_mix,2026-05-02 10:45:01+00:00,25208977834_attempt1,25208977834_attempt1::btc-updown-5m-1777718700,btc-updown-5m-1777718700,london,london_milddrop,2,buy_down,0.04,3.2124468047659565,0.46,-3.282282604869564,77.02888751427935,-0.0408695652173913,0.3838843643187139,True
v1_active_fill_mix,2026-05-03 07:50:01+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777794600,btc-updown-5m-1777794600,london,london_milddrop,2,buy_down,0.04,3.081155500571174,0.64,1.6850069143748607,78.71389442865421,0.021875,0.3838843643187139,True
v1_active_fill_mix,2026-05-03 07:55:02+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777794900,btc-updown-5m-1777794900,london,london_milddrop,2,buy_down,0.04,3.1485557771461687,0.85,0.5185856574123102,79.23248008606653,0.006588235294117648,0.3838843643187139,True
v1_active_fill_mix,2026-05-03 08:10:01+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777795800,btc-updown-5m-1777795800,london,london_milddrop,2,buy_down,0.04,3.1692992034426615,0.82,0.6570498348600642,79.88952992092659,0.008292682926829272,0.3838843643187139,True
v1_active_fill_mix,2026-05-03 10:00:01+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777802400,btc-updown-5m-1777802400,london,london_milddrop,2,buy_down,0.04,3.1955811968370638,0.92,0.24314204758542862,80.13267196851201,0.0030434782608695634,0.3838843643187139,True
v1_active_fill_mix,2026-05-03 10:35:01+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777804500,btc-updown-5m-1777804500,london,london_milddrop,2,buy_down,0.04,3.2053068787404806,0.85,0.5279328976749027,80.66060486618692,0.006588235294117647,0.3838843643187139,True
v1_active_fill_mix,2026-05-03 10:55:00+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777805700,btc-updown-5m-1777805700,london,london_milddrop,2,buy_down,0.04,3.2264241946474765,0.74,1.0900081738673908,81.7506130400543,0.013513513513513514,0.3838843643187139,True
v1_active_fill_mix,2026-05-03 12:45:02+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777812300,btc-updown-5m-1777812300,london,london_milddrop,2,buy_down,0.04,3.2700245216021724,0.78,0.8803912173544308,82.63100425740873,0.010769230769230767,0.3838843643187139,True
v1_active_fill_mix,2026-05-03 13:25:01+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777814700,btc-updown-5m-1777814700,london,london_milddrop,2,buy_down,0.04,3.3052401702963494,0.82,0.6852327182321702,83.3162369756409,0.008292682926829272,0.3838843643187139,True
v1_active_fill_mix,2026-05-04 02:05:02+00:00,25247789591_attempt1,25247789591_attempt1::btc-updown-5m-1777860300,btc-updown-5m-1777860300,asia,asia_breakout,4,buy_up,0.05,4.165811848782045,0.59,2.8242792195132513,86.14051619515416,0.03389830508474577,0.3838843643187139,True
v1_active_fill_mix,2026-05-04 07:10:01+00:00,25274678535_attempt1,25274678535_attempt1::btc-updown-5m-1777878600,btc-updown-5m-1777878600,london,london_milddrop,2,buy_down,0.04,3.4456206478061664,0.74,-3.4921830889927366,82.64833310616143,-0.04054054054054054,0.3838843643187139,True
v1_active_fill_mix,2026-05-04 09:55:01+00:00,25274678535_attempt1,25274678535_attempt1::btc-updown-5m-1777888500,btc-updown-5m-1777888500,london,london_milddrop,2,buy_down,0.04,3.3059333242464572,0.71,1.303748353223955,83.95208145938538,0.015774647887323946,0.3838843643187139,True
v1_active_fill_mix,2026-05-04 11:20:01+00:00,25274678535_attempt1,25274678535_attempt1::btc-updown-5m-1777893600,btc-updown-5m-1777893600,london,london_milddrop,2,buy_down,0.04,3.3580832583754154,0.58,2.373817475748139,86.32589893513352,0.028275862068965523,0.3838843643187139,True
v1_active_fill_mix,2026-05-04 13:25:00+00:00,25274678535_attempt1,25274678535_attempt1::btc-updown-5m-1777901100,btc-updown-5m-1777901100,london,london_milddrop,2,buy_down,0.04,3.453035957405341,0.45,4.14364314888641,90.46954208401993,0.04800000000000001,0.3838843643187139,True
