prob_bin,count,avg_entry_prob,realized_up_rate,avg_pnl_buy_up,edge
"(-0.001, 0.1]",8,0.07125000000000001,0.0,-0.08125,-0.07125000000000001
"(0.1, 0.2]",24,0.15291666666666667,0.08333333333333333,-0.07958333333333334,-0.06958333333333334
"(0.2, 0.3]",23,0.25130434782608696,0.21739130434782608,-0.04391304347826086,-0.03391304347826088
"(0.3, 0.4]",26,0.34615384615384615,0.23076923076923078,-0.1253846153846154,-0.11538461538461536
"(0.4, 0.5]",26,0.45826923076923076,0.5384615384615384,0.07019230769230766,0.08019230769230767
"(0.5, 0.6]",31,0.5633870967741935,0.5161290322580645,-0.05725806451612901,-0.04725806451612902
"(0.6, 0.7]",39,0.6471794871794873,0.6410256410256411,-0.01615384615384617,-0.006153846153846176
"(0.7, 0.8]",26,0.7430769230769231,0.7307692307692307,-0.02230769230769231,-0.012307692307692353
"(0.8, 0.9]",21,0.8428571428571429,0.8095238095238095,-0.04333333333333332,-0.033333333333333326
"(0.9, 1.0]",7,0.9421428571428571,1.0,0.04785714285714286,0.05785714285714294
