strategy,sizing,entry_minute,remaining_minutes,trades,ending_bankroll,total_return,avg_trade_return_on_cost,win_rate,max_drawdown,max_consecutive_losses
rule_drop10_down,fixed_20pct,1,4.0,82,111.47201044020656,0.11472010440206559,0.07176162562829638,0.7560975609756098,0.7086497576463304,2
rule_drop10_down,fixed_25pct,1,4.0,82,93.04610126350147,-0.06953898736498532,0.0717616256282964,0.7560975609756098,0.804127595401211,2
rule_drop10_down,fixed_20pct,2,3.0,97,19.320332325550165,-0.8067966767444983,-0.03288655533941532,0.7422680412371134,0.9001333407972654,3
rule_drop10_down,fixed_25pct,2,3.0,97,10.248404071013763,-0.8975159592898624,-0.032886555339415306,0.7422680412371134,0.9531570271254115,3
rule_drop10_down,fixed_20pct,3,2.0,104,55.90315225002986,-0.44096847749970136,-0.000303897633735839,0.8173076923076923,0.7536413107525556,4
rule_drop10_down,fixed_25pct,3,2.0,104,41.587153757493745,-0.5841284624250626,-0.00030389763373583044,0.8173076923076923,0.8341996885112979,4
rule_drop10_down,fixed_20pct,4,1.0,99,23.653616804388086,-0.7634638319561191,-0.05515051305716051,0.8484848484848485,0.8055365084625985,3
rule_drop10_down,fixed_25pct,4,1.0,99,14.374591617836396,-0.856254083821636,-0.055150513057160525,0.8484848484848485,0.8873822989693033,3
rule_drop10_to50_down,fixed_20pct,1,4.0,66,129.10657147689065,0.2910657147689064,0.07640610713210956,0.7424242424242424,0.7086497576463304,2
rule_drop10_to50_down,fixed_25pct,1,4.0,66,115.52154636281512,0.15521546362815108,0.07640610713210959,0.7424242424242424,0.804127595401211,2
rule_drop10_to50_down,fixed_20pct,2,3.0,73,21.694962099821517,-0.7830503790017849,-0.04004526623353565,0.6986301369863014,0.8566453740028949,4
rule_drop10_to50_down,fixed_25pct,2,3.0,73,12.001843209950785,-0.8799815679004921,-0.04004526623353565,0.6986301369863014,0.9255517616742533,4
rule_drop10_to50_down,fixed_20pct,3,2.0,73,38.88920672163594,-0.6111079327836406,-0.03217595685947494,0.7534246575342466,0.7814440457627301,4
rule_drop10_to50_down,fixed_25pct,3,2.0,73,27.17837118117606,-0.7282162881882395,-0.032175956859474955,0.7534246575342466,0.8662440711445666,4
rule_drop10_to50_down,fixed_20pct,4,1.0,65,19.64959939340454,-0.8035040060659546,-0.10175952474962567,0.7846153846153846,0.8286081205005651,3
rule_drop10_to50_down,fixed_25pct,4,1.0,65,11.554080622416155,-0.8844591937758385,-0.10175952474962567,0.7846153846153846,0.9025478508817998,3
rule_drop20_down,fixed_20pct,1,4.0,52,146.09494971405775,0.4609494971405774,0.10201072979704222,0.8076923076923077,0.4559015490380859,2
rule_drop20_down,fixed_25pct,1,4.0,52,144.98764160688535,0.44987641606885354,0.10201072979704223,0.8076923076923077,0.5314552703931995,2
rule_drop20_down,fixed_20pct,2,3.0,65,13.549145106959593,-0.8645085489304041,-0.10476212519889697,0.7384615384615385,0.9069429806018035,2
rule_drop20_down,fixed_25pct,2,3.0,65,6.9894715422717315,-0.9301052845772827,-0.10476212519889698,0.7384615384615385,0.9556583661848488,2
rule_drop20_down,fixed_20pct,3,2.0,87,125.69267871078677,0.25692678710786776,0.026195813285745686,0.8620689655172413,0.5792562818353442,4
rule_drop20_down,fixed_25pct,3,2.0,87,115.05177369232051,0.15051773692320514,0.026195813285745686,0.8620689655172413,0.6748670096419377,4
rule_drop20_down,fixed_20pct,4,1.0,77,38.610603080101306,-0.6138939691989869,-0.04480938178091413,0.8831168831168831,0.6931018624376286,2
rule_drop20_down,fixed_25pct,4,1.0,77,28.164012131674298,-0.718359878683257,-0.04480938178091412,0.8831168831168831,0.7883750490278646,2
rule_rise30to50_up,fixed_20pct,1,4.0,13,70.477763718409,-0.2952223628159101,-0.042456130710766773,0.6923076923076923,0.36407407407407405,2
rule_rise30to50_up,fixed_25pct,1,4.0,13,60.44296006519977,-0.3955703993480023,-0.04245613071076679,0.6923076923076923,0.44227176738141655,2
rule_rise30to50_up,fixed_20pct,2,3.0,20,88.32451747344112,-0.11675482526558878,0.034016271599727047,0.8,0.4293696224333039,2
rule_rise30to50_up,fixed_25pct,2,3.0,20,81.13635294478777,-0.1886364705521223,0.03401627159972702,0.8,0.5251606841458522,2
rule_rise30to50_up,fixed_20pct,3,2.0,20,68.0572512253779,-0.319427487746221,-0.11592578422010161,0.75,0.5250162350340026,2
rule_rise30to50_up,fixed_25pct,3,2.0,20,59.533229237967255,-0.40466770762032744,-0.11592578422010158,0.75,0.6192634202922681,2
rule_rise30to50_up,fixed_25pct,4,1.0,25,205.85599013380627,1.0585599013380627,0.1166832783365356,0.96,0.08053092783988426,1
rule_rise30to50_up,fixed_20pct,4,1.0,25,175.2095771134628,0.7520957711346281,0.1166832783365356,0.96,0.09144134369149884,1
